,NMOS width,PMOS width,Temperature,VDD,Switching point voltage high,Switching point voltage low
259,200,650,88.30554752,650,0.726687193,0.253571332
260,450,800,52.14102058,800,0.76954186,0.185704112
261,100,950,-31.24627766,950,0.62732023,0.147742257
262,100,1000,91.26830244,1000,0.662995279,0.187757909
263,250,850,87.72627246,850,0.762405634,0.248326868
264,150,750,44.83747766,750,0.662518859,0.187794179
265,200,900,130.3017738,900,0.700765371,0.203146875
266,350,700,-22.95323863,700,0.797353208,0.260640442
267,250,650,14.50890359,650,0.740071535,0.260500133
268,500,350,103.347119,350,0.727076411,0.230482757
269,50,50,108.3152232,50,0.627198696,0.412127852
270,100,500,111.2111778,500,0.631352723,0.262591213
271,450,550,28.78400962,550,0.768645525,0.203929573
272,100,750,-0.52675055,750,0.691820443,0.260637462
273,150,250,45.02612075,250,0.721690059,0.364198059
274,350,200,59.99917475,200,0.802068591,0.377456099
275,500,650,114.8879343,650,0.766174018,0.191944659
276,500,150,-8.142285871,150,0.813473701,0.331263602
277,300,650,14.71548128,650,0.764498651,0.260467112
278,300,150,100.2430653,150,0.692060709,0.275627106
279,250,900,124.320294,900,0.726840436,0.203971282
280,50,300,-23.1228384,300,0.617530227,0.295150369
281,450,50,-30.76751652,50,0.769047678,0.331190735
282,450,650,25.19530475,650,0.802295268,0.248390719
283,450,700,108.228491,700,0.813846588,0.233832926
284,350,800,-19.55645292,800,0.765832722,0.195328623
285,50,150,37.10322495,150,0.612983942,0.337103724
286,400,950,79.92934833,950,0.738597214,0.161932111
287,350,750,60.63510069,750,0.709730625,0.193960607
288,300,950,91.37697612,950,0.722833395,0.161892027
289,200,650,68.12499239,650,0.686403215,0.20387204
290,350,650,95.48049347,650,0.80225724,0.279509276
291,50,1000,16.9830255,1000,0.613118649,0.16029346
292,450,250,130.7667172,250,0.765093684,0.319553852
293,200,250,67.43664855,250,0.695395827,0.327111304
294,250,750,-52.8637495,750,0.76549989,0.231092125
295,450,500,75.78422767,500,0.763258398,0.246153861
296,50,650,91.96280714,650,0.604374528,0.191933453
297,150,500,139.3077275,500,0.675929546,0.264226496
298,50,1000,-46.26536312,1000,0.657103539,0.208262295
299,150,250,-54.1653439,250,0.704378784,0.313916236
300,50,100,115.1870315,100,0.594721675,0.33594209
301,250,250,52.44035888,250,0.73617363,0.325054348
302,100,350,-39.86307671,350,0.663554668,0.319794953
303,350,50,25.04910988,50,0.734855592,0.336973041
304,200,1000,122.3297692,1000,0.709226847,0.195211828
305,100,500,-43.60913711,500,0.652326941,0.26975745
306,100,100,-23.226114,100,0.646203756,0.367196381
307,150,550,45.5216217,550,0.6637941,0.248341039
308,50,400,42.56146431,400,0.647132874,0.33756569
309,100,100,36.9501656,100,0.686104894,0.399433792
310,100,150,58.93824321,150,0.665067554,0.343503684
311,400,350,-53.59161249,350,0.771253288,0.26042065
312,450,100,91.14985875,100,0.71322763,0.312735796
313,250,800,10.6173385,800,0.695553124,0.161994517
314,300,800,-35.14501601,800,0.76870662,0.203514785
315,250,400,-42.20872166,400,0.712827027,0.26676169
316,500,600,-26.27910176,600,0.764970541,0.212088779
317,250,300,-54.78959417,300,0.765295208,0.329978138
318,50,850,63.53377537,850,0.626598597,0.21110335
319,250,650,106.311736,650,0.740166187,0.258599907
320,200,450,108.2817896,450,0.711694717,0.308043301
321,200,750,-0.948811565,750,0.713922262,0.241596967
322,250,550,17.5198084,550,0.70485884,0.192041099
323,250,850,-43.11805049,850,0.734223783,0.186032712
324,100,450,107.7385109,450,0.649601579,0.259904951
325,200,500,138.9895782,500,0.704849839,0.258456737
326,300,50,32.63894311,50,0.734783769,0.381529212
327,50,650,18.70639115,650,0.600560844,0.187837556
328,350,600,123.9694901,600,0.802239597,0.275995165
329,300,650,3.570953875,650,0.765762568,0.246376723
330,350,750,-13.12680534,750,0.726867378,0.201287076
331,50,300,92.63694135,300,0.604301512,0.279188991
332,350,400,-38.70753328,400,0.81349951,0.305606753
333,100,150,2.609549391,150,0.656851113,0.337199867
334,200,150,108.7812111,150,0.721817672,0.367958546
335,250,450,121.8815148,450,0.735046983,0.294895291
336,350,200,-15.05964174,200,0.755646944,0.344335288
337,150,700,0.244050836,700,0.673217475,0.18791002
338,450,500,-5.086194819,500,0.736428261,0.206739038
339,200,950,76.89641994,950,0.721822023,0.185714453
340,50,200,100.2458583,200,0.649508357,0.377372503
341,50,1000,1.059062203,1000,0.666313946,0.203431189
342,450,700,49.31798358,700,0.769051433,0.185709909
343,500,250,66.495351,250,0.838392854,0.356473923
344,350,1000,52.35413443,1000,0.798544049,0.204137966
345,500,450,89.26926009,450,0.794252872,0.25849548
346,100,750,93.03326995,750,0.679990649,0.269503564
347,150,700,-7.830204087,700,0.646595955,0.201261446
348,350,100,-30.06323897,100,0.71175456,0.279102683
349,450,950,35.95364468,950,0.802371085,0.18576102
350,150,750,-28.33338124,750,0.663786054,0.194049776
351,350,300,31.03346001,300,0.798215508,0.332602471
352,250,400,93.54330511,400,0.711793721,0.276810974
353,400,950,-8.853002056,950,0.76496923,0.162126184
354,150,550,105.0993869,550,0.635752082,0.21598193
355,100,550,0.394606048,550,0.66231817,0.260506868
356,150,650,66.76668058,650,0.662519991,0.205529973
357,500,950,-18.85336895,950,0.813748479,0.19424884
358,400,350,69.7062758,350,0.759403586,0.276803792
359,450,350,115.0690367,350,0.804692507,0.314014494
360,200,450,118.3964105,450,0.673274279,0.233632356
361,150,200,50.34292361,200,0.64980489,0.277461439
362,300,250,57.11750269,250,0.709318519,0.264241874
363,450,700,60.87200433,700,0.777447939,0.211022854
364,100,850,96.84360447,850,0.686256707,0.245935142
365,150,1000,-23.06313674,1000,0.709109068,0.186003357
366,50,650,136.7761257,650,0.59478718,0.207746431
367,350,200,22.04399082,200,0.740103841,0.332159877
368,200,850,115.4504211,850,0.695557237,0.192041114
369,300,200,104.4667784,200,0.726816893,0.336101919
370,150,200,55.69472346,200,0.686232686,0.332426727
371,500,700,-21.87199603,700,0.789583087,0.185886905
372,350,1000,116.8679507,1000,0.712020159,0.173769295
373,300,200,23.84405265,200,0.762725711,0.353068292
374,100,450,93.3219999,450,0.617645502,0.248232901
375,300,100,49.94446145,100,0.695456743,0.312802911
376,300,950,10.1283988,950,0.789457679,0.207631603
377,250,950,104.4143802,950,0.674687445,0.152699783
378,300,150,12.3481583,150,0.738030791,0.332443833
379,200,650,105.4259493,650,0.676006913,0.207758754
380,350,400,121.9466368,400,0.740249753,0.286307514
381,500,300,-20.44453012,300,0.847896099,0.325324327
382,50,600,98.76486757,600,0.617580593,0.244609103
383,250,400,28.0868095,400,0.689861655,0.217722803
384,100,450,-0.714190211,450,0.625868917,0.207327664
385,100,150,115.9255009,150,0.662923872,0.377305031
386,450,350,79.15094377,350,0.825449824,0.325142264
387,500,650,138.8335993,650,0.741247416,0.185163081
388,400,1000,-21.82822461,1000,0.77341944,0.179435521
389,150,50,45.51802222,50,0.721528351,0.431632221
390,150,400,14.58273749,400,0.631372809,0.216007754
391,300,850,-34.95097603,850,0.762936771,0.192408115
392,250,600,9.379331331,600,0.72179693,0.207929373
393,500,550,92.14257621,550,0.736619234,0.187626868
394,450,100,7.126986594,100,0.781630576,0.343501091
395,250,350,51.27066814,350,0.713003218,0.294945985
396,200,350,129.5086059,350,0.70483017,0.307968855
397,150,950,37.72931486,950,0.692020535,0.185805395
398,500,50,4.379777548,50,0.789443374,0.337199152
399,250,1000,83.19414462,1000,0.762435615,0.204044864
400,400,250,-21.80939108,250,0.734915674,0.244516626
401,500,350,-56.13126741,350,0.804853678,0.279399753
402,500,850,-22.77183304,850,0.789653778,0.201375216
403,300,900,93.67245687,900,0.771570206,0.207372949
